learning_rate,dense_1_units,dense_2_units,epoch_accuracy,epoch_accuracy,epoch_loss,epoch_loss,evaluation_accuracy_vs_iterations
0.0001,112.0,48.0,0.8105726838111877,0.5510203838348389,0.5130898356437683,0.7018377184867859,0.5510203838348389
0.0001,96.0,48.0,1.0,0.5102040767669678,0.49190202355384827,2.5397229194641113,0.5102040767669678
0.0001,128.0,48.0,0.7753304243087769,0.6734693646430969,0.5192498564720154,0.6936997175216675,0.6734693646430969
0.0001,96.0,64.0,0.907489001750946,0.6326530575752258,0.34192872047424316,0.6842312216758728,0.6326530575752258
0.0001,112.0,32.0,1.0,0.5918367505073547,0.0034630191512405872,0.7491755485534668,0.6122449040412903
0.0001,64.0,48.0,0.7973568439483643,0.5918367505073547,0.45570632815361023,0.7245162725448608,0.5918367505073547
0.0001,64.0,32.0,0.7136563658714294,0.6326530575752258,0.5252919793128967,0.6346510052680969,0.6326530575752258
0.001,80.0,32.0,0.9955947399139404,0.6326530575752258,0.437674880027771,1.7388324737548828,0.6122449040412903
0.001,64.0,64.0,1.0,0.6326530575752258,0.5242563486099243,0.657569944858551,0.6326530575752258
0.001,128.0,64.0,0.907489001750946,0.5918367505073547,0.3101210296154022,1.7711610794067383,0.5918367505073547
0.001,96.0,48.0,0.9867841601371765,0.4897959232330322,0.05553346499800682,2.236295461654663,0.4897959232330322
0.001,96.0,64.0,1.0,0.5306122303009033,0.0015644398517906666,0.695408284664154,0.6122449040412903
0.001,128.0,48.0,1.0,0.6530612111091614,0.008053726516664028,1.879213571548462,0.5510203838348389
0.0001,80.0,32.0,0.7973568439483643,0.5714285969734192,0.4709711968898773,0.720994234085083,0.5714285969734192
0.0001,64.0,64.0,1.0,0.5918367505073547,0.5286874175071716,1.7060904502868652,0.5918367505073547
0.0001,112.0,64.0,0.8017621040344238,0.5918367505073547,0.004336362238973379,0.6682014465332031,0.5918367505073547
0.001,96.0,32.0,0.8237885236740112,0.6122449040412903,0.4438076913356781,2.206672430038452,0.6122449040412903
0.0001,96.0,32.0,0.8105726838111877,0.6734693646430969,0.47932228446006775,0.6824132800102234,0.6734693646430969
0.0001,80.0,48.0,1.0,0.5714285969734192,0.0029824841767549515,2.8270232677459717,0.5714285969734192
0.0001,128.0,64.0,0.8722466826438904,0.6122449040412903,0.3878636956214905,0.7025939226150513,0.6122449040412903
