Index,dense_1_units,dense_2_units,learning_rate,epoch_accuracy,Test Loss,Test Accuracy
0,112,48,0.0001,0.810572684,0.674994946,0.632653058
1,96,48,0.0001,1,0.643392861,0.632653058
2,128,48,0.0001,0.775330424,1.066862345,0.612244904
3,96,64,0.0001,0.907489002,0.622712612,0.632653058
4,112,32,0.0001,1,0.660261571,0.632653058
5,64,48,0.0001,0.797356844,0.620049119,0.632653058
6,64,32,0.0001,0.713656366,0.593888581,0.693877578
7,80,32,0.001,0.99559474,0.534215987,0.714285731
8,64,64,0.001,1,0.803644657,0.673469365
9,128,64,0.001,0.907489002,0.557181001,0.673469365
10,96,48,0.001,0.98678416,0.611558497,0.673469365
11,96,64,0.001,1,0.649655044,0.591836751
12,128,48,0.001,1,0.575939536,0.632653058
13,80,32,0.0001,0.797356844,0.624101698,0.653061211
14,64,64,0.0001,1,0.604798377,0.591836751
15,112,64,0.0001,0.801762104,0.591904759,0.673469365
16,96,32,0.001,0.823788524,0.586963534,0.673469365
17,96,32,0.0001,0.810572684,0.637466848,0.632653058
18,80,48,0.0001,1,0.659964263,0.591836751
19,128,64,0.0001,0.872246683,0.600051343,0.734693885
