id,text,label
train_0,"""One would hope if I search for a word in the title our app would show up in the search.""",0
train_1,"""I would be beyond excited to get a response.""",0
train_2,"""Just like the user can select apps that are allowed to run in the background, it would be great if they could select apps that are allowed to change phone settings.""",1
train_3,"""Once you create a CoreIndependentInputSource touch visual feedback is visible again.""",0
train_4,"""I Have problems with Contact class on Windows 8.1 and WindowsPhone 8.1 With this code: var p = new Windows.ApplicationModel.Contacts.ContactPicker(); p.DesiredFieldsWithContactFieldType.Add(Windows.ApplicationModel.Contacts.ContactFieldType.Email); IList<Windows.ApplicationModel.Contacts.Contact> contacts = await p.PickContactsAsync(); if (contacts.Count > 0) { foreach (Windows.ApplicationModel.Contacts.Contact c in contacts) { await new Windows.UI.Popups.MessageDialog(c.FirstName + "" - "" + c.LastName + ""\n"" + c.Id).ShowAsync(); } } In Windows 8.1 the field LastName is always empty and the field FirstName also contains LastName.""",0
train_5,"""For example: to show the notification area, you swipe from left to right.""",0
train_6,This can be a very powerful control/page yet looking very good to the eye as well.,0
train_7,"""This will allow bulk importing of """"saved for later"""" items into tools like pinboard.in""""",0
train_8,"""Although it seems CustomAudioEffect is running on Worker thread not UI thread it seems media playback would also be impact when UI loading a bit heavier.""",0
train_9,"""We already have the PullToRefreshListView in the toolkit so we can also integrate this functionality into the control and change the name to something more suitable like ListViewEx and have both of the functionality in a single control.""",1
train_10,I've noticed that pausing and resuming the download accelerates the update rate to about every 250 ms.,0
train_11,"""On other systems is works as expected.""",0
train_12,"""So although in, e.g., .NET-based store apps, the System.Diagnostics.Tracing.EventSource class is available and can be used to generate custom ETW events, there doesn't appear to be any point to this at the moment because you___ more""",0
train_13,In debug mode it all works fine.,0
train_14,"""But my old wp7 work fine using same bt sony car stereo!""",0
train_15,"""Add a custom CalendarView control with more personalization options than the one included in the SDK.""",1
train_16,"""LocalizationString) that will harness the Bing Translator API at the time of download by lazy translating the text into the device's local language and saving the translation dictionary of that app for future downloads of that locality or retrieve the existing copy of the app in that locality.""",0
train_17,"""An native app that permit to open files in .rar and .zip formats.""",0
train_18,"""- .""",0
train_19,"""I am concerned whether we will be able to opt out or disable the feature within our apps.""",0
train_20,"""27>C:\Program Files (x86)\Windows Kits\10\Include\10.0.14393.0\um\winioctl.h(6513): warning C4668: '_WIN32_WINNT_WIN10_TH2' is not defined as a preprocessor macro replacing with '0' for '#if/#elif' (compiling source file ..\Src\Win10\AppInsightsWin10.cpp)""",0
train_21,"""It's not about aesthetics Visualfeedback kills performance the framerate in games drops by half which is ironic if you think that's the kind of apps CoreIndependentInputSource was created for in the first place.""",0
train_22,"""As app developers we are currently stuck with 2 methods of generating revenues 1) one time app payment 2) Ads.""",0
train_23,"""2 Hot plug device to unit and idle about 1min""",0
train_24,"""WPF apps work much better when ngen'd.""",0
train_25,For large teams just having one team member being able to do this is a bad design decision.,0
train_26,"""Basically implement the IInternetProtocol family of COM interfaces on Windows Phone 8 and allow us to add our own protocol handlers (in the Registry) - it is possible on Windows 8.""",1
train_27,"""We like a number of the benefits the store offers but it seems without a way to build an list of our clients independent of Microsoft (or anyone but us for that matter) is KEY.""",0
train_28,"""I've read about Project Rome and the possibility of creating cross-device experiences (https://blogs.windows.com/buildingapps/2016/10/11/cross-device-experience-with-project-rome/) and am particularly interested in the Project Rome Android SDK (https://blogs.windows.com/buildingapps/2017/02/08/announcing-project-rome-android-sdk/#HQl7ibqTUGYzrufw.97).""",0
train_29,"""</p> <img src=""http://farm7.staticflickr.com/6096/7028831993_5467feca35.jpg""; /> <p>3.""",0
train_30,"""Compact overlay window is always shown at the right-top corner.""",0
train_31,"""Contrast this with the Windows Phone world, where the developer indicates trial mode in the store, but has to manually track the number of days since install, whether the user has purchased, etc.""",0
train_32,"""Please allow API access for 3rd party developers to set ringer volume/mute/vibrate.""",1
