,Actual_data,Predicted_data_perpetron,Predicted_data_mlp,Predicted_data_perceptron_sklearn,Predicted_data_mlp_sklearn
0,1,0.8197508920641047,0.8525746030454147,1,1
1,0,0.20296796125326946,0.13280798997117743,0,0
2,0,0.22215234929583846,0.12124461358516861,0,0
3,1,0.8096392151284655,0.843560080103856,1,1
4,1,0.3785436489600563,0.6032661359352087,1,1
5,1,0.6314189785838206,0.833826308174732,1,1
6,1,0.9985998120267546,0.8292690071081816,1,0
7,0,0.20028236153662327,0.11193854770410679,0,0
8,1,0.7202762143322937,0.838617660573717,1,1
9,1,0.531462626448102,0.7723699642819523,1,1
10,0,0.19159032396318398,0.11541472455310868,0,0
11,1,0.41896605895553346,0.7317322513572571,1,1
12,0,0.1585527118456445,0.11074439471777169,0,0
13,1,0.5236765782287973,0.7177703766385699,1,1
14,0,0.18710588081915688,0.1329032340000578,0,0
15,1,0.9999524778474804,0.8293015021944146,1,1
16,1,0.9981029036824979,0.829299853628036,1,1
17,0,0.17558540628946767,0.11540668639715707,0,0
18,0,0.49418346879588576,0.7511904651125313,1,1
19,1,0.4960125096646237,0.750987389865364,1,1
20,0,0.1852426472860755,0.19093363396108892,1,0
21,0,0.18763049926193234,0.11402916244757537,0,0
22,0,0.20153206240006036,0.1334312264174661,0,0
23,1,0.769439575599226,0.8413414831545019,1,1
24,0,0.24353661321277098,0.12038969726525241,0,0
25,1,0.8706986520270781,0.8326103336331842,1,1
26,1,0.40820988056418045,0.5325353688072799,0,0
27,0,0.45808988256474664,0.5995938815422552,0,0
28,0,0.19123664617561623,0.11278663936679073,0,0
29,0,0.20576726345375698,0.12106391887459157,0,0
30,1,0.9991695337660346,0.8292992062669059,1,1
31,0,0.18982261181684923,0.11238215998914518,0,0
32,1,0.35299701285794965,0.5375366854118411,1,0
33,0,0.3296477560407928,0.2782718371760225,0,0
34,0,0.39254178124751726,0.6232349768696247,1,1
35,1,0.9663862930637418,0.8297584035544983,1,1
36,1,0.9983249663601701,0.8293012009657518,1,1
37,0,0.24069202971143355,0.12590762686880674,0,0
38,1,0.580394485971991,0.8361358581610051,1,1
39,0,0.23637415135386192,0.11957296190754975,0,0
40,1,0.9989319601372441,0.829299591581936,1,1
41,0,0.5526671943245066,0.7931988198573551,1,1
42,0,0.20057373098507494,0.11808750931506423,0,0
43,1,0.9999232605520446,0.8293014989301039,1,1
44,1,0.9277776103226115,0.8356603329100576,1,1
45,1,0.7526950059534507,0.8393485140502633,1,1
46,1,0.32290348614413633,0.5485146159176278,1,0
47,0,0.17108896221701664,0.11505280582105183,0,0
48,1,0.9873468495096471,0.8293588476788343,1,1
49,0,0.16087972080639112,0.12246541683940045,0,0
50,1,0.5896689052994248,0.8067311979217194,1,1
51,1,0.9601375325623015,0.8198764272165746,1,1
52,0,0.512185428992807,0.652767269089457,1,0
53,0,0.9490281915487433,0.8287860938443598,1,1
54,1,0.9652988839772463,0.8294606939132675,1,1
55,0,0.5964628835461318,0.7844601383439046,1,1
56,0,0.2526540107879358,0.2974357547446403,0,0
57,0,0.44442484685305644,0.5946489579318122,0,0
58,1,0.9799536151479598,0.8294992911334409,1,1
59,0,0.2610933628157896,0.1301585008161054,0,0
60,1,0.9961084220073801,0.8293012510737363,1,1
61,0,0.19172906711277457,0.11572225654911875,0,0
62,1,0.9933889826115524,0.8293039924636801,1,1
63,1,0.6246161052690182,0.8314885591986103,1,1
64,1,0.5462540330489711,0.72426482137946,1,1
65,1,0.7749315560506775,0.8447540334477124,1,1
66,1,0.39857237286316916,0.6015621200749894,1,0
67,1,0.9994052908456843,0.829300080077294,1,1
