Running.Time,v4mM,vTlac,Rel.14.5,Rel.16.1,VO2Max
8.229999542,20.39999962,19.5,47.09999847,52.40000153,23.39999962
8.300000191,19.5,18.20000076,48.09999847,60,23.5
8.619999886,19,17.29999924,50.29999924,56.79999924,22
8.819999695,18.89999962,17.79999924,51.79999924,56.09999847,23
9.180000305,17.79999924,16.5,48.70000076,54.09999847,21.5
9.229999542,17.20000076,15.60000038,50.5,59.59999847,20.5
9.25,15.89999962,15.10000038,51.90000153,57.40000153,21.20000076
9.279999733,17.79999924,16.89999962,57.5,61.70000076,21.70000076
9.5,18.29999924,17,50.40000153,56.20000076,22.29999924
9.5,17.29999924,16.39999962,46.5,50.59999847,21.20000076
9.720000267,15.69999981,14.89999962,53.59999847,57.5,20
10.07999992,15.5,14.69999981,56.70000076,62.29999924,19.10000038
10.15999985,15.19999981,14.10000038,55.59999847,64,16.20000076
10.38000011,14.19999981,13.5,49.90000153,54.70000076,18.29999924
10.5,15.39999962,14.10000038,53,59.79999924,17.29999924
10.57999992,15,13.60000038,53.90000153,61.90000153,19.79999924
