"","Cluster","Size","community_label"
"1","ONE , COURT , KING , GOVERNMENT , MEASURE , ANARCHY , RULER , MONARCHY , RULE , PRESIDENT , LEADER , DICTATOR , MONARCH , OLIGARCHY , TOPPING , ",15,"RULER"
"2","ANIMAL , LION , FROG , KINGDOM , SNAKE , ",5,"ANIMAL"
"3","MUSIC , COUNTRY , CLOTHES , CHINA , ENGLAND , ROMAN , EMPEROR , ",7,"COUNTRY"
"4","PAIN , SICK , HURT , FALL , HEAD , DEATH , SAD , GUN , COLD , ",9,"HURT"
"5","POWER , MONEY , BOOK , WEALTH , TELEVISION , JEWEL , RING , RICH , GOLD , DIAMOND , DYNASTY , ",11,"MONEY"
"6","WORK , MATH , HARD , HORSE , ARMOR , KNIGHT , MEDIEVAL , ",7,"KNIGHT"
"7","STRONG , PEOPLE , BAD , MAN , CITY , OLD , BIG , FRIEND , POOR , MUMMY , ",10,"PEOPLE"
"8","ME , BEAUTIFUL , BEE , QUEEN , BRIDE , PRINCESS , PRINCE , ROYALTY , ",8,"PRINCESS"
"9","HIGH , SKY , SCHOOL , MOVIE , BUILDING , EMPIRE , ",6,"BUILDING"
"10","TOP , CROWN , HAT , TOILET , THRONE , ",5,"CROWN"
"11","GOOD , FOOD , FIGHT , HAPPY , LOVE , ARMY , DRINK , GOD , SMELL , CHURCH , RELIGION , FRANCE , ",12,"GOD"
"12","BLACK , PAPER , TREE , GREEN , HOUSE , BLUE , FIRE , CLEAN , BIRD , RED , CAT , LIGHT , WHITE , DOG , HAIR , COLOR , FLOWER , PURPLE , BUTTERFLY , ",19,"WHITE"
"13","WATER , RAIN , GAME , FUN , HOT , SUN , BALL , BEACH , LONDON , FLUSH , ",10,"SUN"
"14","CAR , SHIP , BOAT , FISH , DRAG , ",5,"BOAT"
"15","SMART , CHESS , CHECKERS , ",3,"CHESS"
"16","GIRL , BEAUTY , BABY , SMALL , SLEEP , ",5,"BEAUTY"
"17","HOME , SAND , MANSION , CASTLE , MOAT , PALACE , ",6,"CASTLE"
"18","FAMILY , ROYAL , PEASANT , REGAL , ",4,"ROYAL"
"19","CHAIR , WOOD , OAK , ",3,"WOOD"
